ID,Line,Replicate,Regime ,Rearing,Elytra_length,Testes_size
30.3,30.3,1,30,38,2.32,0.276
30.3,30.3,2,30,38,2.46,0.216
30.3,30.3,3,30,38,2.36,0.324
30.3,30.3,4,30,38,2.39,0.252
30.4,30.4,1,30,38,2.29,0.24
30.4,30.4,2,30,38,2.29,0.24
30.4,30.4,3,30,38,2.44,0.168
30.4,30.4,4,30,38,2.18,0.216
30.6,30.6,1,30,38,2.33,0.288
30.6,30.6,2,30,38,2.16,0.108
30.6,30.6,3,30,38,2.39,0.216
30.6,30.6,4,30,38,2.26,0.144
30.7,30.7,1,30,38,2.38,0.192
30.7,30.7,2,30,38,2.23,0.204
30.7,30.7,3,30,38,2.26,0.204
30.7,30.7,4,30,38,2.11,0.204
30.9,30.9,1,30,38,2.19,0.228
30.9,30.9,2,30,38,2.12,0.168
30.9,30.9,3,30,38,2.3,0.216
30.9,30.9,4,30,38,2.39,0.264
30.11,30.11,1,30,38,2.45,0.228
30.11,30.11,2,30,38,2.39,0.18
30.11,30.11,3,30,38,2.16,0.204
30.11,30.11,4,30,38,2.29,0.252
30.13,30.13,1,30,38,2.55,0.252
30.13,30.13,2,30,38,2.48,0.336
30.13,30.13,3,30,38,2.42,0.216
30.13,30.13,4,30,38,2.45,0.276
30.15,30.15,1,30,38,2.24,0.24
30.15,30.15,2,30,38,2.23,0.096
30.15,30.15,3,30,38,2.36,0.216
30.15,30.15,4,30,38,2.35,0.312
L1-38.1,38.11,1,38,30,2.37,0.24
L1-38.1,38.11,2,38,30,2.46,0.264
L1-38.1,38.11,3,38,30,2.41,0.156
L1-38.1,38.11,4,38,30,2.45,0.216
L1-38.2,38.12,1,38,30,2.39,0.192
L1-38.2,38.12,2,38,30,2.44,0.216
L1-38.2,38.12,3,38,30,2.3,0.204
L1-38.2,38.12,4,38,30,2.33,0.264
L1-38.3,38.13,1,38,30,2.39,0.216
L1-38.3,38.13,2,38,30,2.35,0.192
L1-38.3,38.13,3,38,30,2.23,0.216
L1-38.3,38.13,4,38,30,2.34,0.144
L1-38.4,38.14,1,38,30,2.41,0.156
L1-38.4,38.14,2,38,30,2.37,0.276
L1-38.4,38.14,3,38,30,2.28,0.36
L1-38.4,38.14,4,38,30,2.37,0.276
L2-38.5,38.25,1,38,30,2.34,0.216
L2-38.5,38.25,2,38,30,2.36,0.204
L2-38.5,38.25,3,38,30,2.35,0.228
L2-38.5,38.25,4,38,30,2.32,0.108
L2-38.6,38.26,1,38,30,2.41,0.216
L2-38.6,38.26,2,38,30,2.39,0.156
L2-38.6,38.26,3,38,30,2.25,0.132
L2-38.6,38.26,4,38,30,2.36,0.072
L2-38.7,38.27,1,38,30,2.16,0.18
L2-38.7,38.27,2,38,30,2.33,0.24
L2-38.7,38.27,3,38,30,2.27,0.228
L2-38.7,38.27,4,38,30,2.21,0.144
L2-38.8,38.28,1,38,30,2.39,0.18
L2-38.8,38.28,2,38,30,2.38,0.228
L2-38.8,38.28,3,38,30,2.37,0.168
L2-38.8,38.28,4,38,30,2.36,0.192
30.3,30.3,1,30,30,2.37,0.3
30.3,30.3,2,30,30,2.31,0.192
30.3,30.3,3,30,30,2.39,0.252
