Regime,Heatwave.temp,Line,Adult.count.ave.20D,std.dev,count,std.error,no38.21
30,30,30.211,286,39.91866731,5,17.85217074,1
30,30,30.213,231.6,73.06024911,5,32.67353669,1
30,30,30.215,217,122.7354879,5,54.88897886,1
30,30,30.23,268.5714286,56.57106782,7,21.38185384,1
30,30,30.24,216.8,112.1770921,5,50.16712071,1
30,30,30.26,256.4,70.69158366,5,31.6142373,1
30,30,30.27,183.8,93.04138864,5,41.60937394,1
30,30,30.29,241.2,148.5486452,5,66.43297374,1
30,38,30.211,208.6,148.8196896,5,66.55418845,1
30,38,30.213,221.2857143,86.31476175,7,32.62391344,1
30,38,30.215,242,34.84250278,5,15.58204094,1
30,38,30.23,216.2,87.31380189,5,39.04791928,1
30,38,30.24,273,26.53299832,5,11.86591758,1
30,38,30.26,183.8,80.23527902,5,35.88230762,1
30,38,30.27,209.4,82.19367372,5,36.75812835,1
30,38,30.29,274.4,41.3436815,5,18.48945645,1
30,42,30.211,79.6,107.7890945,10,34.08590455,1
30,42,30.213,125.6363636,103.4343006,11,31.18661506,1
30,42,30.215,209,119.8782716,6,48.94009944,1
30,42,30.23,175.9230769,133.2431746,13,36.95500756,1
30,42,30.24,167.625,148.880525,8,52.6372144,1
30,42,30.26,54,66.170235,5,29.59222871,1
30,42,30.27,34.4,68.84257404,5,30.78733506,1
30,42,30.29,143.6666667,134.6300487,9,44.87668288,1
38,30,38.11,234,78.63523383,5,35.16674566,1
38,30,38.12,196.2,101.9053482,5,45.57345719,1
38,30,38.13,192,55.63721776,5,24.8817202,1
38,30,38.14,207,67.86383426,5,30.34962932,1
38,30,38.24,246.7142857,50.28821693,7,19.00715941,1
38,30,38.26,149.6,122.066785,5,54.58992581,1
38,30,38.27,187.8,84.12906751,5,37.62366277,1
38,30,38.28,103,141.7109735,5,63.37507396,1
38,38,38.11,219,139.8141624,5,62.52679426,1
38,38,38.12,231.8,151.5031353,5,67.75426186,1
38,38,38.13,230,124.9859992,5,55.8954381,1
38,38,38.14,272.8,37.44596106,5,16.74634288,1
38,38,38.24,141.1,123.5110881,10,39.05763547,1
38,38,38.26,294.2,52.59942965,5,23.52318006,1
38,38,38.27,262.8,60.53676569,5,27.07286464,1
38,38,38.28,251.2,86.34350004,5,38.6139871,1
38,42,38.11,232.8,51.80443996,5,23.16764986,1
38,42,38.12,183.8,32.88920796,5,14.70850094,1
38,42,38.13,225.8,135.527488,5,60.60973519,1
38,42,38.14,284.8571429,41.98979468,7,15.87065062,1
38,42,38.24,170.5,0.707106781,2,0.5,1
38,42,38.26,272.4,85.20739405,5,38.10590505,1
38,42,38.27,45.2,70.93095234,5,31.72128623,1
38,42,38.28,159.4,136.5184969,5,61.05292786,1
38,42,38.21,140.25,23.39,4,11.695,0
